降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0.0,9.7,-1.4,0,2,2.8,4.6
0.0,10.5,3.4,15,2,4.3,5.0
0.0,9.9,1.7,15,2,3.3,4.7
0,10.3,-0.1,15,2,2.5,4.2
0.0,10.3,4.3,15,4,7.3,6.4
0,8.7,2.6,0,4,5.8,3.8
0,10.5,0.3,0,1,2.0,4.2
0.0,10.5,2.5,15,2,7.0,5.5
0.0,7.7,0.6,15,2,1.3,4.0
0.0,4.2,-2.1,1,4,7.5,3.5
0.0,12.3,1.4,15,2,6.5,4.4
0,8.3,2.4,0,4,7.8,4.2
0,13.5,0.7,0,1,0.0,4.5
0,12.6,-0.2,0,1,0.8,4.4
0.5,9.4,1.3,1,4,8.8,5.6
0.0,11.2,3.4,14,2,2.5,5.6
0.0,11.3,2.5,14,4,9.5,5.3
0,9.4,2.3,15,2,1.0,4.0
0,11.7,0.1,14,2,2.5,4.9
1.0,8.8,3.8,14,10,7.8,7.0
0.0,8.6,1.8,14,4,6.0,5.2
0.0,11.0,2.7,14,2,5.0,5.0
0.0,10.4,-0.4,0,2,2.8,4.8
0.0,8.6,1.9,14,2,2.5,3.9
0,8.3,-0.4,15,2,7.8,3.7
0.0,7.0,0.0,14,2,5.5,4.3
0,8.8,-1.2,15,2,2.8,3.8
0.0,7.5,0.7,15,4,9.5,4.9
0,8.5,1.3,15,2,0.8,4.1
0,11.5,-0.9,0,2,4.3,3.7
13.0,8.3,3.3,15,10,10.0,5.9
0,7.7,1.1,15,2,0.8,3.4
0,11.9,-0.5,14,2,2.3,4.8
9.5,10.3,1.4,15,2,5.8,6.5
1.0,14.6,5.7,14,2,4.0,6.7
0,13.3,3.1,0,1,0.5,4.3
1.0,10.9,5.1,15,4,5.8,6.9
0,15.2,3.0,15,4,8.5,7.6
0,10.7,2.0,15,3,5.8,3.7
0.0,7.3,1.5,0,4,10.0,3.6
0.0,7.9,2.0,14,2,5.0,3.3
0.0,7.8,2.3,15,4,9.5,4.5
0.0,10.6,1.8,14,2,4.5,4.8
0.0,12.0,2.5,14,2,7.3,4.9
0.0,8.3,1.1,14,3,7.3,3.5
0,7.3,-0.2,15,4,7.3,3.1
0.0,12.8,4.3,14,4,8.8,4.7
0,11.1,1.9,14,2,1.8,3.3
0,14.5,0.0,15,2,3.0,4.5
21.5,8.9,6.5,0,10,10.0,8.3
0.0,17.8,7.8,15,4,7.3,9.4
0,12.2,5.0,14,2,2.3,4.9
0,15.0,3.4,15,4,9.5,5.5
0,14.8,5.5,15,2,3.5,4.2
0,15.5,3.8,15,3,10.0,4.8
0.0,18.0,7.6,14,3,8.3,5.8
0,15.8,6.1,14,1,2.5,4.7
0,13.2,3.9,15,4,9.3,4.5
23.5,11.5,7.5,15,10,8.0,9.0
0,16.0,6.9,14,2,2.8,6.0
0,16.4,4.7,15,2,4.3,3.5
0.5,11.4,7.7,15,10,10.0,7.2
9.5,14.5,7.9,15,4,8.3,9.6
0,17.5,7.0,15,2,4.3,5.1
8.0,16.2,8.8,1,4,10.0,8.9
1.5,16.3,6.2,14,4,6.3,7.4
0,13.2,3.6,15,1,0.3,4.1
0,16.2,1.5,6,2,4.3,5.5
28.0,11.5,6.8,0,4,10.0,10.1
13.0,16.0,9.1,13,10,8.0,10.0
0.5,15.6,5.0,15,2,5.0,7.5
