降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0,10.7,0.9,14,2,0.5,4.7
0,10.9,2.2,15,1,0.3,4.3
0,10.9,-0.3,14,1,0.0,4.1
0,9.8,0.2,1,1,1.5,5.1
0,14.0,0.9,15,1,0.5,5.2
0,8.0,2.4,15,2,6.3,3.9
0,10.6,0.4,14,1,1.5,3.6
0,9.8,0.7,14,2,4.3,5.0
0,8.0,1.0,14,1,0.8,3.8
0,5.2,-1.2,15,4,3.8,3.4
0,12.2,-0.2,15,2,0.8,4.3
0.0,6.2,2.7,15,4,10.0,5.7
0.0,10.1,3.9,1,2,5.3,5.8
0,9.8,1.3,1,1,0.8,5.3
0.5,10.5,0.4,14,4,6.0,7.0
0,11.3,1.8,15,2,7.5,4.7
0,11.6,2.0,15,2,3.0,5.0
0,10.0,2.8,15,1,0.0,3.2
0,11.7,1.9,14,2,1.3,3.8
0,12.0,1.8,14,2,0.8,5.1
0,10.5,2.5,14,1,0.3,3.5
0,10.6,-0.2,15,2,0.8,4.1
0,11.2,1.7,9,2,3.0,5.3
0,10.2,3.4,15,1,0.0,3.4
0,10.0,2.8,15,2,5.8,3.9
0,9.9,1.5,14,2,4.5,4.2
0,9.7,1.1,14,1,0.0,3.6
0,13.2,0.0,9,4,5.0,4.6
0,9.9,3.0,14,1,0.3,3.6
0,10.0,0.2,15,2,2.0,5.2
15.5,11.2,1.7,15,4,10.0,6.3
0,8.3,1.3,14,1,0.5,3.6
0,12.6,-0.9,13,1,0.8,5.0
0,13.4,3.0,15,2,3.0,6.5
0.0,19.4,6.7,15,2,2.3,8.4
0.0,8.8,5.3,15,4,9.0,5.4
15.0,7.7,3.9,15,10,7.5,8.2
0,16.5,3.9,8,3,7.8,9.2
0,10.6,3.3,15,2,7.3,3.7
2.0,3.5,-0.5,15,12,10.0,5.3
0.0,7.9,-1.2,15,2,7.8,4.2
0.0,4.6,0.4,14,12,10.0,5.4
0,11.1,0.9,15,2,4.0,4.3
0.0,8.6,3.3,15,4,9.3,4.9
0,8.5,1.8,15,3,7.5,3.3
0.0,5.3,0.0,15,4,9.5,4.9
0,13.9,2.0,15,4,6.8,4.8
0,11.8,3.4,14,2,4.3,3.4
0,14.6,2.0,14,2,0.8,5.4
1.5,12.8,6.1,14,4,10.0,8.6
0.5,19.5,5.4,0,2,6.8,10.9
0.0,14.8,7.3,15,2,3.3,5.6
0,13.7,4.1,15,3,7.8,7.3
0.0,14.7,5.6,15,2,6.5,4.9
0,13.6,2.3,8,3,6.3,6.0
0.0,17.1,6.6,0,4,7.8,8.5
0.0,12.5,7.8,1,4,8.3,7.3
0.5,10.6,4.0,14,4,10.0,5.6
22.5,7.6,5.1,15,10,10.0,8.9
1.5,13.1,6.5,1,4,8.8,8.8
0,14.7,6.4,15,2,5.3,4.8
13.5,10.4,4.4,15,10,10.0,7.8
27.5,9.5,5.4,15,10,10.0,10.2
0.5,15.8,4.3,1,2,6.0,8.5
3.0,14.2,8.0,15,4,10.0,10.6
28.0,10.3,4.3,15,10,9.3,10.6
0,12.5,3.9,14,1,0.0,4.8
0,16.9,2.3,9,2,2.0,6.4
6.5,16.4,6.9,3,3,9.8,9.7
32.0,17.8,9.4,15,4,6.5,10.7
0,17.1,8.3,7,2,2.5,7.4
0,19.1,5.6,14,2,2.0,6.7
0,14.3,3.3,14,2,4.3,4.1
0,15.0,4.1,7,2,3.3,5.5
0.0,13.9,6.4,14,4,6.3,7.2
0.0,15.3,3.5,15,2,5.0,4.9
0,14.5,4.1,7,2,4.0,5.8
0,19.2,6.3,13,4,10.0,7.5
0,21.5,8.5,15,2,2.0,7.9
0.0,22.3,13.9,8,4,8.3,14.6
0.0,23.9,8.7,15,4,9.8,10.3
0.0,9.0,4.4,15,4,10.0,5.3
0,15.4,1.1,15,2,0.8,3.9
0,15.0,3.9,15,3,7.5,6.3
0.0,15.9,9.7,14,4,5.8,8.0
0,19.7,7.3,8,2,3.0,6.3
0.0,16.9,9.0,15,4,9.3,6.9
0.0,9.3,6.8,3,4,10.0,5.9
3.5,11.7,7.2,15,4,10.0,9.0
1.5,16.3,7.3,1,4,7.3,9.1
5.5,16.2,4.2,15,2,6.0,6.5
0.0,13.1,2.3,15,2,3.8,5.3
0,14.1,2.7,14,1,0.3,4.1
0,16.7,3.4,7,1,1.5,5.7
0,22.5,6.7,9,3,3.5,7.4
0,21.6,11.0,7,2,2.8,7.4
0,21.6,10.4,0,2,3.5,9.9
11.0,14.8,5.9,3,10,10.0,9.2
0,16.9,4.3,15,1,2.3,5.9
29.5,10.2,3.6,15,10,10.0,8.1
1.5,16.7,4.4,15,2,9.5,7.0
0.0,12.6,7.5,3,4,10.0,6.1
0,18.2,5.5,14,2,2.8,6.3
0.0,18.3,9.7,8,4,10.0,9.9
5.0,22.7,11.6,14,2,4.0,9.1
0,21.0,10.1,7,2,2.3,7.7
0,19.5,11.0,7,3,9.5,11.2
0,23.5,13.4,7,2,5.3,12.0
0.0,23.6,14.3,7,3,9.8,14.1
0,19.1,9.8,7,2,5.3,10.1
0,23.1,12.2,7,2,8.0,14.6
0.0,25.6,14.4,5,4,9.0,15.0
0.0,23.3,15.3,7,3,10.0,13.2
3.0,20.6,17.5,8,4,10.0,19.2
4.0,24.3,18.1,8,4,8.8,22.1
4.5,20.0,9.5,3,10,10.0,12.8
6.5,13.2,8.0,14,4,7.5,9.7
0,18.7,6.0,7,3,6.3,6.4
0.0,19.8,10.5,8,4,10.0,10.8
20.0,17.4,12.8,6,10,10.0,16.1
26.0,23.4,14.3,15,4,10.0,18.3
3.5,23.9,13.8,14,10,6.0,13.6
0,25.0,11.0,8,3,9.0,10.6
0.0,24.8,14.1,0,2,7.8,14.3
0,25.2,12.5,7,3,5.3,13.8
0.0,22.1,15.1,8,4,8.3,15.0
0.0,20.9,10.8,14,2,7.5,9.1
0,22.7,7.9,8,1,2.5,7.9
0,22.7,14.3,9,4,8.3,10.6
0,27.1,13.9,15,2,6.8,10.6
0,27.8,15.3,8,2,5.5,14.7
0,22.2,14.5,3,3,8.3,14.2
0.0,22.6,13.3,6,4,9.8,13.8
0.5,19.3,16.1,8,10,9.8,16.7
0.0,23.8,15.7,7,2,9.5,15.4
0.0,24.6,16.0,6,2,6.8,15.1
0,25.9,15.3,6,2,2.8,15.4
0.0,25.6,15.6,6,3,8.8,15.5
